
code_province,osm_id,osm_type,category_key,category_value,lat,lon,reason
MA-01-051,309801977,way,leisure,park,35.2464633,-3.9274959,hors_polygone_commune_connu
MA-01-051,329066300,way,amenity,parking,35.2339818,-3.9263592,hors_polygone_commune_connu
MA-01-051,329066323,way,leisure,park,35.2379088,-3.9268509,hors_polygone_commune_connu
MA-01-051,522263275,way,amenity,place_of_worship,35.2492319,-3.9303771,hors_polygone_commune_connu
MA-01-051,598553229,way,amenity,school,35.2334484,-3.9335486,hors_polygone_commune_connu
MA-01-051,601822145,way,amenity,fuel,35.2332488,-3.9281233,hors_polygone_commune_connu
MA-01-051,602260309,way,amenity,fuel,35.2400218,-3.9283275,hors_polygone_commune_connu
MA-01-051,701465797,way,tourism,hotel,35.2447289,-3.926608,hors_polygone_commune_connu
MA-01-051,789174103,way,amenity,hospital,35.238852,-3.9390368,hors_polygone_commune_connu
MA-01-051,1109768358,way,amenity,pub,35.2410766,-3.9283576,hors_polygone_commune_connu
MA-01-051,1200905472,way,leisure,pitch,35.2430119,-3.9346435,hors_polygone_commune_connu
MA-01-051,1299826359,way,amenity,dive_centre,35.2348419,-3.9231314,hors_polygone_commune_connu
MA-01-151,13789278301,node,amenity,cafe,35.393129,-5.009286,hors_polygone_commune_connu
MA-01-151,13848550363,node,amenity,drinking_water,34.9454057,-5.2448797,hors_polygone_commune_connu
MA-01-151,13848561742,node,shop,convenience,34.9454372,-5.2448332,hors_polygone_commune_connu
MA-01-151,298447390,way,leisure,marina,35.3273331,-4.9368134,hors_polygone_commune_connu
MA-01-227,3442699400,node,amenity,ferry_terminal,35.8769122,-5.5189891,hors_polygone_commune_connu
MA-01-227,3613455098,node,amenity,ferry_terminal,35.8906487,-5.504477,hors_polygone_commune_connu
MA-01-227,11302159052,node,amenity,ferry_terminal,35.8778112,-5.5169817,hors_polygone_commune_connu
MA-01-227,11302159054,node,amenity,ferry_terminal,35.8817733,-5.514757,hors_polygone_commune_connu
MA-01-227,11510517372,node,amenity,charging_station,35.8767191,-5.5188233,hors_polygone_commune_connu
MA-01-227,11560286545,node,amenity,bench,35.8757907,-5.5181696,hors_polygone_commune_connu
MA-01-227,11560806777,node,amenity,bench,35.8758492,-5.5181943,hors_polygone_commune_connu
MA-01-227,11560806947,node,amenity,toilets,35.8766869,-5.5181076,hors_polygone_commune_connu
MA-01-227,11560806948,node,amenity,bench,35.8763641,-5.5184118,hors_polygone_commune_connu
MA-01-227,11560810654,node,leisure,picnic_table,35.8765186,-5.5184771,hors_polygone_commune_connu
MA-01-227,11560810655,node,leisure,picnic_table,35.8759985,-5.5182574,hors_polygone_commune_connu
MA-01-227,11560822168,node,amenity,bench,35.8760548,-5.5182812,hors_polygone_commune_connu
MA-01-227,11560830195,node,amenity,bench,35.875747,-5.5181511,hors_polygone_commune_connu
