report_title,report_url,pdf_filename,page_number,row_number,code_rayon_d_action,credit_montant,credit_percent,depots_montant,depots_percent,nombre_guichets,periode,rayon_d_action
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,7,35,22726869,1.93,54851583,4.19,346,10-2025,FES
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,8,45,14715100,1.25,30350253,2.32,166,10-2025,KENITRA
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,9,55,4795180,0.41,13471776,1.03,63,10-2025,LARACHE
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,10,60,35176935,2.99,80935616,6.18,362,10-2025,MARRAKECH
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,11,63,25797719,2.2,56531821,4.31,381,10-2025,MEKNES
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,12,66,5950110,0.51,52358646,3.99,181,10-2025,NADOR
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,13,70,1873432,0.16,9808302,0.75,68,10-2025,OUARZAZATE
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,14,73,13529350,1.15,51586474,3.94,281,10-2025,OUJDA
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,15,78,167117256,14.22,192554785,14.69,592,10-2025,SUCCURSALEDERABAT
Répartition par rayon d'action des dépôts et crédits 10-2025,https://www.bkam.ma/content/download/839594/9109237/Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,Répartition par rayon d'action des dépôts et crédits 10 2025.pdf,1,16,80,7043140,0.6,16999141,1.3,109,10-2025,SAFI
