report_title,report_url,pdf_filename,page_number,row_number,categorie,encours_mdh,periode
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,67,Créditbancaire,365914.2785936753,2007-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,68,Créditbancaire,377225.2988304603,2007-07-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,69,Créditbancaire,379022.39751678647,2007-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,70,Créditbancaire,389612.3302976743,2007-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,71,Créditbancaire,400147.283380108,2007-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,72,Créditbancaire,406173.65178828605,2007-11-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,73,Créditbancaire,424406.1244045051,2007-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,74,Créditbancaire,429800.96602686425,2008-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,75,Créditbancaire,434170.5469194123,2008-02-29
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,76,Créditbancaire,436559.19642366923,2008-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,77,Créditbancaire,447621.6850380498,2008-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,78,Créditbancaire,454882.641187103,2008-05-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,79,Créditbancaire,471566.1741986606,2008-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,80,Créditbancaire,475640.2996894176,2008-07-31
